,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
624,1,2,1,0.83,1,1,18.75,2
625,0,3,1,23.0,0,0,7.8542,2
626,0,3,1,18.0,0,0,8.3,2
627,1,1,0,39.0,1,1,83.1583,0
628,0,3,1,21.0,0,0,8.6625,2
629,0,3,1,20.0,0,0,7.925,2
630,0,2,1,16.0,0,0,10.5,2
631,1,1,0,30.0,0,0,31.0,0
632,0,3,1,34.5,0,0,6.4375,0
633,0,3,1,42.0,0,0,7.55,2
634,0,3,1,35.0,0,0,7.8958,0
635,0,2,1,28.0,0,1,33.0,2
636,0,3,1,4.0,4,2,31.275,2
637,0,3,0,9.0,1,1,15.2458,0
638,1,1,0,16.0,0,1,39.4,2
639,0,2,0,44.0,1,0,26.0,2
640,1,3,0,18.0,0,1,9.35,2
641,1,1,0,45.0,1,1,164.8667,2
642,1,1,1,51.0,0,0,26.55,2
643,1,3,0,24.0,0,3,19.2583,0
644,0,3,1,41.0,2,0,14.1083,2
645,0,2,1,21.0,1,0,11.5,2
646,1,1,0,48.0,0,0,25.9292,2
647,0,2,1,24.0,0,0,13.0,2
648,1,2,0,42.0,0,0,13.0,2
649,1,2,0,27.0,1,0,13.8583,0
650,0,1,1,31.0,0,0,50.4958,2
651,1,3,1,4.0,1,1,11.1333,2
652,1,1,0,47.0,1,1,52.5542,2
653,0,1,1,33.0,0,0,5.0,2
654,0,3,1,47.0,0,0,9.0,2
655,1,2,0,28.0,1,0,24.0,0
656,1,3,0,15.0,0,0,7.225,0
657,0,3,1,20.0,0,0,9.8458,2
658,1,1,0,56.0,0,1,83.1583,0
659,1,2,0,25.0,0,1,26.0,2
660,0,3,1,33.0,0,0,7.8958,2
661,0,3,0,22.0,0,0,10.5167,2
662,0,2,1,28.0,0,0,10.5,2
663,0,3,0,39.0,0,5,29.125,1
664,1,1,0,19.0,0,0,30.0,2
665,1,1,1,26.0,0,0,30.0,0
666,0,3,1,32.0,0,0,7.75,1
